idnew_table,eyes,eyebrows,forehead,nose,mouth,origin_value,userId,emotion_names
1,3,12,15,13,5,6,43,6
2,1,10,15,14,5,4,43,4
3,3,12,16,13,5,7,43,7
4,1,11,16,14,6,3,43,3
5,1,9,15,14,4,1,43,1
6,1,10,16,13,8,2,43,3
7,1,10,15,14,4,5,43,5
8,1,9,15,14,7,1,43,1
9,1,9,15,14,5,4,43,4
10,3,9,15,13,5,6,43,6
11,1,10,15,14,4,5,43,5
12,1,11,16,14,8,2,43,3
13,3,12,16,13,6,7,43,7
14,1,10,16,13,4,3,43,2
15,3,12,16,13,6,7,43,7
16,3,12,16,13,4,3,43,2
17,1,10,16,14,8,2,43,3
18,1,10,15,13,4,5,43,5
19,1,12,15,13,5,6,43,6
20,1,9,15,14,7,4,43,4
21,3,9,15,13,7,1,43,1
22,1,9,15,14,8,4,43,4
23,2,9,15,14,7,1,43,1
24,3,12,15,13,5,6,43,6
25,1,10,16,14,4,5,43,5
26,3,11,16,13,8,2,43,2
27,1,10,16,13,5,3,43,2
28,2,11,16,13,5,7,43,7
29,1,10,15,13,8,2,43,3
30,1,10,16,13,6,3,43,2
31,3,9,15,13,6,7,43,7
32,1,9,15,13,7,1,43,1
33,2,9,15,13,5,6,43,6
34,1,10,15,14,7,4,43,4
35,1,10,16,14,4,5,43,5
36,1,9,15,14,7,4,43,4
37,1,10,16,14,4,5,43,5
38,2,9,15,14,5,6,43,6
39,1,9,15,13,7,1,43,1
40,3,11,16,13,8,7,43,7
41,1,10,16,14,6,3,43,2
42,1,10,15,14,5,2,43,3
43,1,9,16,14,5,6,43,6
44,3,11,16,13,6,7,43,7
45,1,12,16,14,6,3,43,2
46,1,9,15,14,8,2,43,3
47,3,9,15,13,4,1,43,1
48,1,10,15,14,4,5,43,5
49,1,9,15,14,7,4,43,4
50,1,10,16,14,4,5,43,5
51,1,9,15,14,7,4,43,4
52,1,9,15,14,8,2,43,3
53,3,9,15,13,7,1,43,1
54,3,10,15,13,5,7,43,7
55,1,9,16,14,5,6,43,6
56,1,10,16,14,6,3,43,2
57,1,11,15,14,5,6,43,6
58,1,11,16,13,4,3,43,2
59,1,9,15,14,4,1,43,1
60,3,12,16,13,6,7,43,7
61,1,9,15,14,8,2,43,3
62,1,10,15,14,4,5,43,5
63,1,9,15,14,5,4,43,4
64,1,10,16,13,4,5,43,5
